ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-112-20896-8	多思的实践者: 广东省第八届“省长杯”工业设计大赛优秀论文集 / 广东省第八届“省长杯”工业设计大赛组委会编	"北京: 中国建筑工业出版社, 2017"	TB47/122	第二书库（六教一楼）	
978-7-122-24590-8	图解设计心理学== Design psychology / 陈根编著 eng	"北京: 化学工业出版社, 2017"	TB47-05/13	第二书库（六教一楼）	
978-7-115-44717-3	产品创新36计== Product innovation: 手把手教你如何产生优秀的产品创意 / 李冠辰著 eng	"北京: 人民邮电出版社, 2017"	TB472/353	第二书库（六教一楼）	
978-7-302-47783-9	产品交互设计实践== The practices of product interaction design eng / 蒋晓主编	"北京: 清华大学出版社, 2017"	TB472/354	第二书库（六教一楼）	
978-7-5180-3825-1	产品设计马克笔手绘表现 / 曹学会著	"北京: 中国纺织出版社, 2017"	TB472/355	第二书库（六教一楼）	
978-7-5487-2929-7	UG NX 10.0上机指导教程 / 陈爽主编	"长沙: 中南大学出版社, 2017"	TB472/356	第二书库（六教一楼）	
978-7-111-56334-1	UG NX 11.0产品设计实例精解 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TB472/357	第二书库（六教一楼）	
978-7-301-27978-6	"全脑思维: 产品创意与品牌定位实战手册 / (美) 吉姆·伊博著== Centerbrain thinking: a practical guide to creatively positioning your brand, product, or service / Jim Ebel; 何海交译 eng"	"北京: 北京大学出版社, 2017"	TB472/358	第二书库（六教一楼）	
978-7-5086-6831-4	"上瘾: 让用户养成使用习惯的四大产品逻辑 / (美) 尼尔·埃亚尔, (美) 瑞安·胡佛著== Hooked: how to build habit-forming products / Nir Eyal, Ryan Hoover; 钟莉婷, 杨晓红译 eng"	"北京: 中信出版社, 2017"	TB472/359	第二书库（六教一楼）	
978-7-122-29543-9	决定成败的产品美学设计 / 陈根编著	"北京: 化学工业出版社, 2017"	TB472/360	第二书库（六教一楼）	
978-7-111-57455-2	成瘾: 如何设计让人上瘾的产品、品牌和观念 / 程志良著	"北京: 机械工业出版社, 2017"	TB472/361	第二书库（六教一楼）	
978-7-111-56079-1	Pro/ENGINEER中文野火版5.0产品设计实例精解: 增值版 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TB472/362	第二书库（六教一楼）	
978-7-302-44251-6	"产品设计表现技法 / 郭宇承, 任文营, 高一帆编著"	"北京: 清华大学出版社, 2017"	TB472/363	第二书库（六教一楼）	
978-7-111-57077-6	"UG NX 11.0基础应用与范例解析 / 韩凤起, 李志尊, 杨振军等编著"	"北京: 机械工业出版社, 2017"	TB472/364	第二书库（六教一楼）	
978-7-5682-4220-2	产品设计方法与案例解析== The method and case analysis of product design / 李程著 eng	"北京: 北京理工大学出版社, 2017"	TB472/365	第二书库（六教一楼）	
978-7-5184-1256-3	"产品设计== Product design / 陈文龙, 沈元编著 eng"	"北京: 中国轻工业出版社, 2017"	TB472/420	第二书库（六教一楼）	
978-7-5680-2766-3	设计与革新: 关于未来设计的50种思考== Design and innovation: 50 ways to create the future / 太刀川瑛弼; 赵昕译 eng	"武汉: 华中科技大学出版社, 2017"	TB472/421	第二书库（六教一楼）	
978-7-302-46864-6	UG NX 10.0中文版自学视频教程 / CAD/CAM/CAE技术联盟编著	"北京: 清华大学出版社, 2017"	TB472-39/143	第二书库（六教一楼）	
978-7-122-29449-4	决定成败的产品包装设计 / 陈根著	"北京: 化学工业出版社, 2017"	TB482/93	第二书库（六教一楼）	
978-7-5142-1611-0	"包装纸盒造型创意设计 / 蔡惠平, 何松著"	"北京: 文化发展出版社, 2017"	TB484.1/17	第二书库（六教一楼）	
978-7-5114-4440-0	"工厂工程师和管理人员节能指南 / (美) 阿尔伯特·图曼, 斯科特·唐宁著== Plant engineers and managers guide to energy conservation / Albert Thumann, Scott Dunning; 王乐, 王建平译 eng"	"北京: 中国石化出版社, 2017"	TB493/5	第二书库（六教一楼）	
978-7-5179-0628-5	创意闪光灯摄影 / (德)蒂洛·戈克尔著; 张悦译	"北京: 中国摄影出版社, 2017"	TB811/47	第二书库（六教一楼）	
978-7-115-45036-4	无人机航拍手册: 空中摄影与视频制作完全指南 / (英) 伊沃·马尔诺著; 徐大军译	"北京: 人民邮电出版社, 2017"	TB86/100	第二书库（六教一楼）	
978-7-122-30166-6	"石油产品分析== Analysis of petroleum products / 丛玉凤, 乔海燕编 eng"	"北京: 化学工业出版社, 2017"	TE626/4	第二书库（六教一楼）	
978-7-122-29982-6	石油化工仿真装置实践教程 / 靳海波主编	"北京: 化学工业出版社, 2017"	TE96/6	第二书库（六教一楼）	
978-7-5114-4500-1	炼油化工机泵设备维护检修案例 / 胡安定主编	"北京: 中国石化出版社, 2017"	TE96/7	第二书库（六教一楼）	
978-7-5024-7485-0	高炉煤气除尘与热风炉实践 / 葛荣华编著	"北京: 冶金工业出版社, 2017"	TF547/2	第二书库（六教一楼）	
978-7-5612-5420-2	"金属工艺学简明教程 / 主编郭春洁, 韩淑洁; 参编孔波 ... [等]"	"西安: 西北工业大学出版社, 2017"	TG/54	第二书库（六教一楼）	
978-7-122-29391-6	金属固态相变教程 / 郭英奎编	"北京: 化学工业出版社, 2017"	TG111.5/2	第二书库（六教一楼）	
978-7-111-56115-6	无模铸造 / 单忠德著	"北京: 机械工业出版社, 2017"	TG249/4	第二书库（六教一楼）	
978-7-111-57394-4	UG NX 11.0钣金设计实例精解 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TG382/8	第二书库（六教一楼）	
978-7-88709-962-4	UG NX 11.0钣金设计教程 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TG382-39/35	第二书库（六教一楼）	
978-7-111-57124-7	快乐冲压: 冲压模具实用宝典 / 韩梅编著	"北京: 机械工业出版社, 2017"	TG386/20	第二书库（六教一楼）	
978-7-111-55580-3	"冲压工艺与模具设计 / 主编柯旭贵, 张荣清"	"北京: 机械工业出版社, 2017"	TG386/21	第二书库（六教一楼）	
978-7-5682-4755-9	机床拆装与维护 / 主编成建群	"北京: 北京理工大学出版社, 2017"	TG502/38	第二书库（六教一楼）	
978-7-302-45533-2	工厂数控编程技术实例特训: UG NX9版 / 寇文化编著	"北京: 清华大学出版社, 2017"	TG659.022/15	第二书库（六教一楼）	
978-7-5643-5549-4	数控编程与加工实习教程 / 江书勇，宋鸣主编	"成都: 西南交通大学出版社, 2017"	TG659/746	第二书库（六教一楼）	
978-7-302-47866-9	UG NX 11.0中文版数控加工从入门到精通 / CAX应用联盟编著	"北京: 清华大学出版社, 2017"	TG659/747	第二书库（六教一楼）	
978-7-5680-2582-9	"数控机床维护与维修教程: 华中数控 / 主编陈吉红, 孙海亮"	"武汉: 华中科技大学出版社, 2017"	TG659/748	第二书库（六教一楼）	
978-7-122-29046-5	FANUC数控编程手册 / 杜军编著	"北京: 化学工业出版社, 2017"	TG659/749	第二书库（六教一楼）	
978-7-111-55931-3	MasterCAM X6宝典 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TG659/750	第二书库（六教一楼）	
978-7-111-56078-4	数控机床加工程序编制 / 主编顾京	"北京: 机械工业出版社, 2017"	TG659/751	第二书库（六教一楼）	
978-7-111-56052-4	UG NX 11.0数控加工教程 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TG659/752	第二书库（六教一楼）	
978-7-111-56312-9	UG NX 11.0数控加工实例精解 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TG659/753	第二书库（六教一楼）	
978-7-111-57336-4	UG NX 10.0多轴数控加工典型实例详解 / 高长银 ... [等] 主编	"北京: 机械工业出版社, 2017"	TG659/754	第二书库（六教一楼）	
978-7-5682-4791-7	"数控加工仿真项目化教程 / 主编韩秋燕, 余娟, 谢丽君"	"北京: 北京理工大学出版社, 2017"	TG659-39/59	第二书库（六教一楼）	
978-7-5682-3930-1	特种加工基础实训教程== Basic training course of special machining / 鄂大辛主编 eng	"北京: 北京理工大学出版社, 2017"	TG66/22	第二书库（六教一楼）	
978-7-5682-4545-6	"特种加工技术 / 主编曹伟, 张萍, 吕英霞"	"北京: 北京理工大学出版社, 2017"	TG66/23	第二书库（六教一楼）	
978-7-5478-3237-0	机械原理与机械设计课程实验指导 / 傅燕鸣主编	"上海: 上海科学技术出版社, 2017"	TG76/192	第二书库（六教一楼）	
978-7-5603-6389-9	"模具数控加工技术 / 主编陈光军, 刘亦智, 石文勇"	"哈尔滨: 哈尔滨工业大学出版社, 2017"	TG76/193	第二书库（六教一楼）	
978-7-302-47857-7	UG NX 11.0中文版模具设计从入门到精通 / CAX应用联盟编著	"北京: 清华大学出版社, 2017"	TG760.2/12	第二书库（六教一楼）	
978-7-111-57197-1	模具材料 / 主编高为国	"北京: 机械工业出版社, 2017"	TG760.4/5	第二书库（六教一楼）	
978-7-111-56401-0	模具制造工艺 / 主编付建军	"北京: 机械工业出版社, 2017"	TG760.6/24	第二书库（六教一楼）	
978-7-5682-4217-2	"检测技术与过程控制 / 主编方小菊, 陈越华, 黄永杰"	"北京: 北京理工大学出版社, 2017"	TG8/26	第二书库（六教一楼）	
978-7-111-56873-5	"几何公差应用技术问答 / 傅成昌, 傅晓燕等编著"	"北京: 机械工业出版社, 2017"	TG801/126	第二书库（六教一楼）	
978-7-111-57275-6	"互换性与测量技术 / 主编胡业发, 张宏"	"北京: 机械工业出版社, 2017"	TG801/127	第二书库（六教一楼）	
978-7-111-55729-6	互换性与技术测量 / 主编韩进宏	"北京: 机械工业出版社, 2017"	TG801/128	第二书库（六教一楼）	
978-7-5682-4176-2	"互换性与技术测量 / 主编管建峰, 钟相强"	"北京: 北京理工大学出版社, 2017"	TG801/129	第二书库（六教一楼）	
978-7-121-31791-0	几何量精度设计与测量技术 / 孔晓玲主编	"北京: 电子工业出版社, 2017"	TG806/23	第二书库（六教一楼）	
978-7-308-16312-5	机械类创新案例分析 / 杜继涛著	"杭州: 浙江大学出版社, 2017"	TH/96	第二书库（六教一楼）	
978-7-5682-4536-4	"机电专业英语 / 主编党丽峰, 薛智勇"	"北京: 北京理工大学出版社, 2017"	TH/97	第二书库（六教一楼）	
978-7-5618-5871-4	机械工程基础 / 车建明主编	"天津: 天津大学出版社, 2017"	TH/98	第二书库（六教一楼）	
978-7-5682-3892-2	"机械基础设计实践== Course project in mechanical design / 孔凌嘉, 王文中, 荣辉主编 eng"	"北京: 北京理工大学出版社, 2017"	TH11/56	第二书库（六教一楼）	
978-7-118-11306-8	机械原理 / 主编高慧琴	"北京: 国防工业出版社, 2017"	TH111/76	第二书库（六教一楼）	
978-7-5114-4583-4	"设备润滑诊断与管理 / 贺石中, 冯伟编著"	"北京: 中国石化出版社, 2017"	TH117.2/5	第二书库（六教一楼）	
978-7-111-56162-0	AutoCAD机械设计入门与提高: 2017中文版 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TH122/863	第二书库（六教一楼）	
978-7-308-16643-0	"机械设计== Machine design / 主编陈秀宁, 顾大强 eng"	"杭州: 浙江大学出版社, 2017"	TH122/864	第二书库（六教一楼）	
978-7-302-46056-5	AutoCAD 2016中文版机械设计从入门到精通 / CAD/CAM/CAE技术联盟编著	"北京: 清华大学出版社, 2017"	TH122/865	第二书库（六教一楼）	
978-7-111-57448-4	"SOLIDWORKS 2016有限元、虚拟样机与流场分析从入门到精通 / 胡仁喜, 刘昌丽 ... [等]编著"	"北京: 机械工业出版社, 2017"	TH122/866	第二书库（六教一楼）	
978-7-302-45798-5	SolidWorks 2016中文版自学视频教程 / CAD/CAM/CAE技术联盟编著	"北京: 清华大学出版社, 2017"	TH122/867	第二书库（六教一楼）	
978-7-03-054317-2	机械设计基础 / 陈良玉 ... [等] 主编	"北京: 科学出版社, 2017"	TH122/868	第二书库（六教一楼）	
978-7-111-56464-5	AutoCAD机械设计实例精解: 2017中文版 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TH122/869	第二书库（六教一楼）	
978-7-122-29226-1	"机械CAD软件开发实战 / 蔡洪涛, 陈汉新编著"	"北京: 化学工业出版社, 2017"	TH122/870	第二书库（六教一楼）	
978-7-5517-1631-4	Pro/ENGINEER、ANSYS、MATLAB软件及应用 / 陈洪月编著	"沈阳: 东北大学出版社, 2017"	TH122/871	第二书库（六教一楼）	
978-7-115-45570-3	AutoCAD 2016中文版机械设计实例教程 / 贾雪艳，许玢编著	"北京: 人民邮电出版社, 2017"	TH122/872	第二书库（六教一楼）	
978-7-5693-0056-7	"机械精度设计基础 / 主编蒋庄德, 苑国英"	"西安: 西安交通大学出版社, 2017"	TH122/873	第二书库（六教一楼）	
978-7-121-32483-3	CATIA V5-6R2016快速入门、进阶与精通: 配全程视频 / 郭焕萍主编	"北京: 电子工业出版社, 2017"	TH122/874	第二书库（六教一楼）	
978-7-111-57313-5	"SOLIDWORKS Simulation premium教程: 2017版 / (美) DS SOLIDWORKS公司著; 陈超祥, 胡其登主编; 杭州新迪数字工程系统有限公司编译"	"北京: 机械工业出版社, 2017"	TH122/875	第二书库（六教一楼）	
978-7-111-56983-1	UG NX 11.0曲面设计实例精解 / 北京兆迪科技有限公司编著	"北京: 机械工业出版社, 2017"	TH122/876	第二书库（六教一楼）	
978-7-5198-0809-9	AutoCAD绘制机械图训练指导 / 主编李国琴，孙京平	"北京: 中国电力出版社, 2017"	TH126/332	第二书库（六教一楼）	
978-7-04-048142-6	画法几何及机械制图 / 东北大学工程图学教学与研究中心编; 黄英 ... [等] 主编	"北京: 高等教育出版社, 2017"	TH126/333	第二书库（六教一楼）	
978-7-5198-0329-2	"机械零部件测绘 / 主编高红, 张贺, 孙振东"	"北京: 中国电力出版社, 2017"	TH13/91	第二书库（六教一楼）	
978-7-5682-4473-2	工程机械液压控制新技术 / 韩慧仙著	"北京: 北京理工大学出版社, 2017"	TH137/155	第二书库（六教一楼）	
978-7-113-21858-4	液压与气压传动 / 主编陈艳	"北京: 中国铁道出版社, 2017"	TH137/156	第二书库（六教一楼）	
978-7-111-56656-4	液压与气压传动: 3D版 / 陈清奎 ... [等] 编著	"北京: 机械工业出版社, 2017"	TH137/157	第二书库（六教一楼）	
978-7-121-32437-6	气体检测与气体源定位技术 / 陈立伟著	"北京: 电子工业出版社, 2017"	TH138/10	第二书库（六教一楼）	
978-7-111-57095-0	机械工程材料 / 高红霞主编	"北京: 机械工业出版社, 2017"	TH14/28	第二书库（六教一楼）	
978-7-5680-3348-0	机械制造技术基础课程设计 / 柯建宏主编	"武汉: 华中科技大学出版社, 2017"	TH16/339	第二书库（六教一楼）	
978-7-5198-0004-8	机械制造技术基础课程设计指导书 / 主编储开宇	"北京: 中国电力出版社, 2017"	TH16/340	第二书库（六教一楼）	
978-7-5682-4748-1	机电设备装调工艺与技术 / 高田海，陈庆胜主编 电气分册	"北京: 北京理工大学出版社, 2017"	TH17/62	第二书库（六教一楼）	
978-7-111-56503-1	"机电一体化技术 / 主编郭文松, 刘媛肢"	"北京: 机械工业出版社, 2017"	TH-39/253	第二书库（六教一楼）	
978-7-111-57419-4	"机电控制技术导论 / 付庄, 张波, 贡亮编著"	"北京: 机械工业出版社, 2017"	TH-39/254	第二书库（六教一楼）	
978-7-122-29029-8	机械电气控制与三菱PLC应用详解 / 黄志坚编著	"北京: 化学工业出版社, 2017"	TH-39/255	第二书库（六教一楼）	
978-7-5114-4408-0	"安全仪表系统工程设计与应用== Safety Instrumented System: Design, Analysis and Justification, 2nd Edition / (美) 保罗格润, (美) 哈瑞·L.谢迪编著; 张建国, 李玉明译 eng"	"北京: 中国石化出版社, 2017"	TH89/4	第二书库（六教一楼）	
978-7-121-32540-3	微视频学电工 / 韩雪涛主编; 数码维修工程师鉴定指导中心组织编写	"北京: 电子工业出版社, 2017"	TM/314	第二书库（六教一楼）	
978-7-5038-9070-3	电工电子实验教程 / 韩小平主编	"北京: 中国林业出版社, 2017"	TM/315	第二书库（六教一楼）	
978-7-111-57144-5	电工综合技能从入门到精通 / 韩雪涛主编	"北京: 机械工业出版社, 2017"	TM/316	第二书库（六教一楼）	
